id,title,description,rating,poster_url,backdrop_urls,collage,dominant_colors
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.712,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"['https://image.tmdb.org/t/p/w1280/yMXRZYGdFa8kcJN9ssl0zrmlhY5.jpg', 'https://image.tmdb.org/t/p/w1280/qCUjQId2jQS53edDKQXBJojd5sd.jpg', 'https://image.tmdb.org/t/p/w1280/gwrLg3hlxS5sW9F4tVFZSx7dOiF.jpg', 'https://image.tmdb.org/t/p/w1280/e9oWuwOPjXNAE2vaOl1DBj2cjvY.jpg', 'https://image.tmdb.org/t/p/w1280/dpSypP6IjUXJDSFYJAnNoS5KPKR.jpg', 'https://image.tmdb.org/t/p/w1280/9h5d3eGBeIS8WEEKpeic63sPIDH.jpg', 'https://image.tmdb.org/t/p/w1280/qZNxW24zXzOewK369TbgAsE1dCP.jpg', 'https://image.tmdb.org/t/p/w1280/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg', 'https://image.tmdb.org/t/p/w1280/maMr76DU7lMkHUPt8DGtVT5qAwA.jpg', 'https://image.tmdb.org/t/p/w1280/v8xVDqt8uCul3c3mgx4VpGCwxJC.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783B1AE70>,"[(221, 193, 163), (45, 36, 35), (143, 104, 78), (162, 163, 153), (102, 109, 104), (122, 136, 161)]"
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.7,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"['https://image.tmdb.org/t/p/w1280/l9pBih8Cw5iro9Usa5JyRX2iFaB.jpg', 'https://image.tmdb.org/t/p/w1280/9EuFl42t6VDO1CMpQgbTyef0U22.jpg', 'https://image.tmdb.org/t/p/w1280/ySPC8e9qoipVBCS3a1FMFHqo9JX.jpg', 'https://image.tmdb.org/t/p/w1280/pxlbAasRD1Abo0vbEFxqagudJFb.jpg', 'https://image.tmdb.org/t/p/w1280/7nfMHfkiu8Z8JxQranJvYWwPHtS.jpg', 'https://image.tmdb.org/t/p/w1280/6RV0pad5RGTL5HD89gh6oLQNoxE.jpg', 'https://image.tmdb.org/t/p/w1280/1ijVm8tSflCbkb7gUBUQEwifXHi.jpg', 'https://image.tmdb.org/t/p/w1280/u4XpDXsHVSrvSZgLHMxAYnMSQCe.jpg', 'https://image.tmdb.org/t/p/w1280/iXQs0uCURYYSycpSMaDhxwlTvye.jpg', 'https://image.tmdb.org/t/p/w1280/pagZQFDDQLKkIqDtUIwT0hZypPt.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x177F5AE0350>,"[(31, 20, 14), (233, 210, 175), (131, 97, 69), (147, 150, 133), (189, 74, 42), (112, 132, 140)]"
240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",8.571,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"['https://image.tmdb.org/t/p/w1280/ibvYsGyXlwFWbGs9GzpklVySQYG.jpg', 'https://image.tmdb.org/t/p/w1280/AmQC2gLSijwzxGlTZ79OjPQkJjA.jpg', 'https://image.tmdb.org/t/p/w1280/jWjDu9cRfCBPJ2bUBY57TqUKoI4.jpg', 'https://image.tmdb.org/t/p/w1280/1ck85Hv84yLcaOfq00yDFQZxTq7.jpg', 'https://image.tmdb.org/t/p/w1280/i6fNyGYJsjj8cxJPzluCPmitvUa.jpg', 'https://image.tmdb.org/t/p/w1280/jhGBaK5jjtYphHXbf9wWCyqCGUv.jpg', 'https://image.tmdb.org/t/p/w1280/yw8o1uEi8KDqoFQ8xG5GvVC0JLc.jpg', 'https://image.tmdb.org/t/p/w1280/bwNt4GzAnet23oloe6Mbghz7MtY.jpg', 'https://image.tmdb.org/t/p/w1280/oo4PVK6AyLZN49BokxDFGyclN86.jpg', 'https://image.tmdb.org/t/p/w1280/xflqpvp3N4oKxzSC5FfYBtYPt5F.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783B19AF0>,"[(197, 164, 132), (32, 22, 18), (117, 80, 56), (140, 144, 140), (77, 86, 84), (77, 126, 143)]"
424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,8.564,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"['https://image.tmdb.org/t/p/w1280/zoOczMm29ygHL751qTIkc0lzlyP.jpg', 'https://image.tmdb.org/t/p/w1280/7LINUJsfHzKCQTqYmeti8NuXDUQ.jpg', 'https://image.tmdb.org/t/p/w1280/lnxTTpHzpjgla7YX8MGkQG2bg0Y.jpg', 'https://image.tmdb.org/t/p/w1280/hAE75phCM3v1m1kh2l2hsnNuHb6.jpg', 'https://image.tmdb.org/t/p/w1280/5cZeLB5SRyrOoC4kIxxNrq0re13.jpg', 'https://image.tmdb.org/t/p/w1280/rCfpnBNbPZ9UIkl3ktg48suWuf1.jpg', 'https://image.tmdb.org/t/p/w1280/fkUJRJgjEqlGjWmxE4qZyzvTQcZ.jpg', 'https://image.tmdb.org/t/p/w1280/xeDyrWmkmfxIzlgtTP0c09DFzcp.jpg', 'https://image.tmdb.org/t/p/w1280/sSnHKCGwRZpMn2HkyqHK1kuuoPP.jpg', 'https://image.tmdb.org/t/p/w1280/xCXiRlUo2Jc7lqx9CXTWUwVRYMO.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783B1A510>,"[(189, 189, 188), (18, 18, 18), (99, 99, 98), (132, 140, 136), (67, 76, 69), (132, 132, 140)]"
389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",8.548,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,"['https://image.tmdb.org/t/p/w1280/5nt2ImSfBaf8rnuukYeb9gwhg65.jpg', 'https://image.tmdb.org/t/p/w1280/9GSvXxJojJ7MM2rzvzSIUNDGfMF.jpg', 'https://image.tmdb.org/t/p/w1280/xboJhTkm732VxPDIBqEPF1wk8Be.jpg', 'https://image.tmdb.org/t/p/w1280/3x1hh3VGugF4pvLURkLLOmb1rj5.jpg', 'https://image.tmdb.org/t/p/w1280/g3xNKYOq9RgpSWHs4LWodOqMkyv.jpg', 'https://image.tmdb.org/t/p/w1280/i4bMyXGs6GV2oFpAEG1yFAQ5uC3.jpg', 'https://image.tmdb.org/t/p/w1280/mUatDIx5JVxsUW3s1t3xoMfPgrR.jpg', 'https://image.tmdb.org/t/p/w1280/6396QiokQBiTgPgB16nUWxYdM7N.jpg', 'https://image.tmdb.org/t/p/w1280/mXvlJgSiV5krqYnrlMMic5eUfGK.jpg', 'https://image.tmdb.org/t/p/w1280/mSF17lWYr3rbVeyKNYt3HXJtUXO.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783B1B6E0>,"[(42, 39, 38), (229, 216, 197), (171, 170, 166), (152, 59, 50), (206, 51, 43), (45, 131, 169)]"
129,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.537,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,"['https://image.tmdb.org/t/p/w1280/8h4qNVrjbg8s2vngnWe0i83XJ19.jpg', 'https://image.tmdb.org/t/p/w1280/mSDsSDwaP3E7dEfUPWy4J0djt4O.jpg', 'https://image.tmdb.org/t/p/w1280/hZth9NCeXvvO7Xi98d8q34e1Ier.jpg', 'https://image.tmdb.org/t/p/w1280/3jiq2yBeIrUyxqrXT1wLmHT6MIT.jpg', 'https://image.tmdb.org/t/p/w1280/zSWkLXXj26IQ3pFDH1rnXDQZxAu.jpg', 'https://image.tmdb.org/t/p/w1280/xOIwp6tMCtmbMJE0ZKRoF9Gvo.jpg', 'https://image.tmdb.org/t/p/w1280/6imVjvnFs5waqXzyGiFNe4RBgPp.jpg', 'https://image.tmdb.org/t/p/w1280/tr66S6iMqzDJXh5mTiEETodhpOF.jpg', 'https://image.tmdb.org/t/p/w1280/btTOCj6Lbh4w6Bp3rCqYrdIlYrC.jpg', 'https://image.tmdb.org/t/p/w1280/lfsl9b2cOApJro9jKu74CF8bX6b.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783AE3A70>,"[(205, 160, 142), (37, 28, 28), (135, 104, 89), (123, 168, 171), (40, 119, 153), (53, 105, 110)]"
155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.52,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"['https://image.tmdb.org/t/p/w1280/enNubozHn9pXi0ycTVYUWfpHZm.jpg', 'https://image.tmdb.org/t/p/w1280/3xyth9V7S3hQJeKtfbSgvVf0Pry.jpg', 'https://image.tmdb.org/t/p/w1280/5vAsrC9rXZmsBYpFYmMnZJ2j9NO.jpg', 'https://image.tmdb.org/t/p/w1280/fM6rKcFfnQDz7Nk4FKyEaEjEtS.jpg', 'https://image.tmdb.org/t/p/w1280/blqNt4KaX41piBMHAMUTNEIbn4w.jpg', 'https://image.tmdb.org/t/p/w1280/rp7NihDM25MdSYLNHMaLtCISilF.jpg', 'https://image.tmdb.org/t/p/w1280/zxjiMh5jq8wEO8hrY820N77quHn.jpg', 'https://image.tmdb.org/t/p/w1280/uOmovkS2Kcx5DAJTyC1PXQbwuT6.jpg', 'https://image.tmdb.org/t/p/w1280/6fA9nie4ROlkyZAUlgKNjGNCbHG.jpg', 'https://image.tmdb.org/t/p/w1280/qejZvo4zzL6KQ74h2IVnfGDbeQj.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783B19340>,"[(26, 37, 44), (205, 196, 182), (91, 113, 115), (123, 166, 178), (114, 142, 160), (190, 63, 38)]"
19404,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",8.517,https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,"['https://image.tmdb.org/t/p/w1280/5lKzzuw5TBor4uaWSrTJ4VRZdJL.jpg', 'https://image.tmdb.org/t/p/w1280/lUtat06wZ1JruZfTKHeCXsM4rO1.jpg', 'https://image.tmdb.org/t/p/w1280/oySdKIN58wUdKeR6xuKHC2YUzTk.jpg', 'https://image.tmdb.org/t/p/w1280/gNBCvtYyGPbjPCT1k3MvJuNuXR6.jpg', 'https://image.tmdb.org/t/p/w1280/fUwFVERlpAhjKJRQoeCAFYtocjB.jpg', 'https://image.tmdb.org/t/p/w1280/dIepxIBki0DzGDHk55LfYMludnb.jpg', 'https://image.tmdb.org/t/p/w1280/c4yszIpHaQUHPvIHOKBB6NCrvLQ.jpg', 'https://image.tmdb.org/t/p/w1280/9Csn2qE0eDN74bFGMWJbCe5W4ox.jpg', 'https://image.tmdb.org/t/p/w1280/jRoRb8xuP0mOYiNk99AYLqcN6Pt.jpg', 'https://image.tmdb.org/t/p/w1280/bH1PTGiHZYrXiMsA53nP4TZo2wb.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x17783B191F0>,"[(213, 160, 116), (38, 32, 29), (128, 97, 81), (68, 109, 162), (141, 166, 167), (68, 100, 99)]"
497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",8.505,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,"['https://image.tmdb.org/t/p/w1280/4DciiDvEMhQJyf4EaZErGjJZBAx.jpg', 'https://image.tmdb.org/t/p/w1280/aJAgDNHjOR2rUsBvjuCEV8YOoIF.jpg', 'https://image.tmdb.org/t/p/w1280/hvbWh2aBmBNWEBJIjJF2Km6Pn4i.jpg', 'https://image.tmdb.org/t/p/w1280/ytW29UOmOBa4Xp8NZm7Hwob7mF7.jpg', 'https://image.tmdb.org/t/p/w1280/atZiNaPy0ipzzvATo8wzBQ05MZx.jpg', 'https://image.tmdb.org/t/p/w1280/2XRapPxR6t1wzMes8VbpzWHtrdG.jpg', 'https://image.tmdb.org/t/p/w1280/sttQu7SgRZLOaasiwtAbfCgjUff.jpg', 'https://image.tmdb.org/t/p/w1280/5TJE84ysIz3SxkyKhVlbSlxNLhS.jpg', 'https://image.tmdb.org/t/p/w1280/beLaDQrVoGECAoh6Nyq8TqMdZuX.jpg', 'https://image.tmdb.org/t/p/w1280/xMIyotorUv2Yz7zpQz2QYc8wkWB.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x177F5AE2B10>,"[(207, 188, 165), (38, 33, 19), (125, 99, 64), (146, 160, 133), (82, 108, 78), (135, 142, 145)]"
496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",8.5,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,"['https://image.tmdb.org/t/p/w1280/dmXQPjjssQon28MKB3kqkSG1Xgm.jpg', 'https://image.tmdb.org/t/p/w1280/h4qNdahG04xEliMGC3Z0qIZ6YoY.jpg', 'https://image.tmdb.org/t/p/w1280/xRm1g7ZSkyGKXOxRFqSdoEODD9N.jpg', 'https://image.tmdb.org/t/p/w1280/xPe38m5I3IgtQIQ0aneYUgcxK6p.jpg', 'https://image.tmdb.org/t/p/w1280/ApiBzeaa95TNYliSbQ8pJv4Fje7.jpg', 'https://image.tmdb.org/t/p/w1280/650k8IZOh7NreCQ4I6B5h4XQC19.jpg', 'https://image.tmdb.org/t/p/w1280/x8Up7lZa8vHQohzH2w5KGoHfUCU.jpg', 'https://image.tmdb.org/t/p/w1280/eBLMslHrUdqxBo8DhvDZIGexACU.jpg', 'https://image.tmdb.org/t/p/w1280/xnPYcbmTN3l58uU93wcboBXD0oW.jpg', 'https://image.tmdb.org/t/p/w1280/zU255Wd4pqs8oAOk0P3oYqlVKXr.jpg']",<PIL.Image.Image image mode=RGB size=2000x450 at 0x177F5A2CC20>,"[(35, 34, 32), (194, 167, 144), (118, 98, 81), (129, 169, 157), (79, 99, 98), (124, 136, 154)]"
